"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"16_11_9_dbpedia_dw","dbpedia","dw","16","0,9","11","0,993902439","0,564013841","0,719646799","1","0,742574257","0,852272727","540","00:00:22","0.9639047817907086","336055","23.11.2022 12:56","423","1","0,544554455","0,705128205"
"6_10_9_dw_kaggle_f","dw","kaggle_f","6","0,9","10","1","0,071794872","0,133971292","1","0,115942029","0,207792208","1569","00:03:29","0.9940586163356226","5622217","25.11.2022 20:21","973","1","0,057971014","0,109589041"
"21_16_7_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0,7","16","0,938461538","0,333333333","0,491935484","0,923076923","0,514285714","0,660550459","4428","00:03:57","0.9983593215055898","-3141902","28.11.2022 12:48","1844","0,966666667","0,414285714","0,58"
"26_10_9_forbes_kaggle_f","forbes","kaggle_f","26","0,9","10","0,968253968","0,56744186","0,715542522","0,935483871","0,828571429","0,878787879","2712","00:07:58","0.9935787802696053","6316297","29.11.2022 12:01","1390","0,945945946","0,5","0,654205607"
"18_10_8_forbes_kaggle_f","forbes","kaggle_f","18","0,8","10","0,981651376","0,497674419","0,660493827","0,746835443","0,842857143","0,791946309","4743","00:04:49","0.9935787802696053","6316297","28.11.2022 20:08","1584","0,967741935","0,428571429","0,594059406"
"17_11_87_dbpedia_dw","dbpedia","dw","17","0,875","11","1","0,602076125","0,75161987","0,986842105","0,742574257","0,847457627","632","00:00:11","0.9639047817907086","336055","21.11.2022 23:38","481","1","0,564356436","0,721518987"
"20_11_87_dbpedia_dw","dbpedia","dw","20","0,875","11","0,983695652","0,626297578","0,765327696","0,950617284","0,762376238","0,846153846","707","00:00:20","0.9639047817907086","336055","23.11.2022 12:57","521","0,983333333","0,584158416","0,732919255"
"17_11_87_dbpedia_forbes","dbpedia","forbes","17","0,875","11","1","0,550561798","0,710144928","0,980392157","0,78125","0,869565217","683","00:00:12","0.9627863194874974","360154","22.11.2022 21:08","520","0,976190476","0,640625","0,773584906"
"20_11_85_dbpedia_forbes","dbpedia","forbes","20","0,85","11","1","0,550561798","0,710144928","0,980392157","0,78125","0,869565217","683","00:00:20","0.9627863194874974","360154","22.11.2022 21:09","520","0,976190476","0,640625","0,773584906"
"21_10_9_dw_kaggle_f","dw","kaggle_f","21","0,9","10","1","0,38974359","0,560885609","0,976190476","0,594202899","0,738738739","2385","00:04:36","0.9940586163356226","5622217","25.11.2022 20:36","1279","1","0,289855072","0,449438202"
"27_10_87_dbpedia_kaggle","dbpedia","kaggle","27","0,875","10","0,955555556","0,425742574","0,589041096","0,876923077","0,93442623","0,904761905","11841","00:18:50","0.9942044619521371","284531","22.11.2022 18:50","3435","0,951219512","0,639344262","0,764705882"
"15_11_87_dbpedia_forbes","dbpedia","forbes","15","0,875","11","1","0,415730337","0,587301587","0,971428571","0,53125","0,686868687","527","00:00:10","0.9627863194874974","360154","22.11.2022 21:08","406","0,964285714","0,421875","0,586956522"
